symbol,long_venue,short_venue,hours,coverage_pct,mean_bps_h,median_bps_h,stdev_bps_h,same_sign_frac,longest_run_h,carry_24h_p10,carry_24h_p50,carry_24h_p90,carry_24h_hit_frac,carry_7d_p10,carry_7d_p50,carry_7d_p90,carry_7d_hit_frac,hours_to_hurdle,annualised_pct,basis_hours,basis_mean_bps,basis_std_bps,basis_7d_move_max,basis_7d_move_p90,edge_7d_bps,windows_7d,rankable,mean_funding_long,mean_funding_short
GOLD,HL,LIGHTER,1440,100.0,-0.02811,-0.0225,0.096662,0.843056,297,-2.629338,-0.54,0.879121,0.0,-12.962195,-4.528107,4.702529,0.053417,,-2.462478,1440,-6.481785,4.908266,25.625766,9.597474,-20.320033,1273,True,0.088631,0.060521
GOLD1,HL,LIGHTER,1440,100.0,-0.02811,-0.0225,0.096662,0.843056,297,-2.629338,-0.54,0.879121,0.0,-12.962195,-4.528107,4.702529,0.053417,,-2.462478,1440,-6.481785,4.908266,25.625766,9.597474,-20.320033,1273,True,0.088631,0.060521
HYPE,HL,ASTER,1438,99.861111,-0.032572,0.0,0.140809,0.340056,48,-2.901186,-0.42434,0.872337,0.0,-14.946844,-6.530959,5.644338,0.077891,,-2.853269,1440,-3.976391,5.59577,22.159386,9.44528,-20.917302,1271,True,0.119197,0.086626
HYPE,HL,LIGHTER,1440,100.0,-0.037747,-0.005,0.137995,0.834028,153,-2.861896,-0.532709,0.60778,0.0,-12.919749,-6.980711,2.681232,0.0,,-3.306636,1440,-2.751574,4.635318,27.863651,8.832356,-21.173849,1273,True,0.119205,0.081458
GOLD1,ASTER,HL,1438,99.861111,0.07246,0.0625,0.117233,0.885257,308,-0.540846,1.526638,4.128268,0.032509,-5.084338,13.031138,21.741627,0.803304,82.804064,6.347515,427,11.140266,16.319013,238.633614,27.437044,-21.263728,1271,True,0.016207,0.088668
MU,LIGHTER,HL,1440,100.0,0.006116,0.0225,0.282716,0.760417,92,-2.413794,0.570275,2.630162,0.0,-8.15449,1.642613,6.407993,0.117046,981.009072,0.535775,1440,2.046621,7.279318,48.325788,16.349088,-21.321574,1273,True,0.090611,0.096727
TSLA,ASTER,HL,1434,99.583333,0.042512,0.0625,0.161078,0.790795,120,-1.556838,1.340479,3.206567,0.0,-3.880999,10.290713,15.375771,0.691397,141.135444,3.724082,1440,10.405372,10.026261,58.525758,22.561937,-21.419862,1267,True,0.042641,0.085153
GOLD,HL,ASTER,1438,99.861111,-0.040045,-0.0625,0.12952,0.79694,246,-2.897747,-1.486476,2.13005,0.028269,-15.009559,-11.344157,17.553287,0.1369,,-3.507928,1440,-7.545313,4.410827,20.154874,9.543896,-22.271429,1271,True,0.088668,0.048623
ZEC,LIGHTER,HL,1440,100.0,-0.014277,0.005,0.203761,0.264583,28,-2.659865,-0.133312,1.352634,0.021877,-8.314421,-2.695695,9.520425,0.2011,,-1.25063,1440,0.809261,6.845489,74.170614,13.910877,-22.309346,1273,True,0.180569,0.166293
SNDK,HL,LIGHTER,1440,100.0,0.013295,-0.0225,0.281598,0.306944,27,-2.329518,-0.333015,3.37407,0.05434,-7.260397,0.647105,15.621644,0.318146,451.295854,1.164646,1440,-2.236276,8.118436,50.651576,18.823388,-22.589819,1273,True,0.098045,0.11134
MU,HL,LIGHTER,1440,100.0,-0.006116,-0.0225,0.282716,0.760417,92,-2.630162,-0.570275,2.413794,0.045872,-6.407993,-1.642613,8.15449,0.150825,,-0.535775,1440,-2.046621,7.279318,48.325788,16.349088,-23.376601,1273,True,0.096727,0.090611
ASTER,HL,ASTER,1438,99.861111,0.001206,-0.010775,0.275757,0.465229,72,-5.205803,0.3348,5.870965,0.09894,-41.197949,4.959335,24.491531,0.482297,4973.742009,0.105675,1440,-5.560165,8.011835,45.362314,17.850243,-23.647579,1271,True,0.150344,0.151551
ASTER,ASTER,HL,1438,99.861111,-0.001206,0.010775,0.275757,0.465229,72,-5.870965,-0.3348,5.205803,0.097527,-24.491531,-4.959335,41.197949,0.221873,,-0.105675,1440,5.560165,8.011835,45.362314,17.850243,-24.052907,1271,True,0.151551,0.150344
NVDA,ASTER,HL,1434,99.583333,0.057153,0.0625,0.160283,0.843794,123,-0.281276,1.458717,3.016719,0.009213,2.55826,11.485346,15.777384,0.794791,104.981561,5.006594,1440,7.370591,11.301882,70.072451,27.773542,-24.171856,1267,True,0.020734,0.077887
SPCX,LIGHTER,HL,1440,100.0,0.008145,0.0225,0.295973,0.609722,87,-3.851752,-0.314371,5.097859,0.043049,-17.18224,3.158122,22.271443,0.455617,736.614776,0.713534,1440,0.992527,8.203459,38.353,19.996572,-24.62815,1273,True,0.015257,0.023402
LIT,HL,LIGHTER,1440,100.0,0.006333,-0.005,0.265151,0.255556,19,-4.183465,0.313223,3.559743,0.036697,-19.758889,7.379863,17.059254,0.554595,947.46431,0.554744,1440,-1.09416,9.357773,62.948106,19.695352,-24.63146,1273,True,0.131862,0.138194
HOOD,LIGHTER,HL,1440,100.0,0.037239,0.0225,0.225445,0.810417,129,-1.948477,1.149755,4.092465,0.028934,-7.764532,8.890934,26.504592,0.589159,161.123193,3.2621,1440,6.023379,12.135792,129.671811,25.087506,-24.831424,1273,True,0.095924,0.133162
MU,ASTER,HL,280,19.444444,0.056416,0.0625,0.328662,0.803571,63,-1.267881,1.5,4.077573,0.003891,6.065731,10.247918,11.940855,0.920354,106.352612,4.942051,194,8.642554,13.744151,148.47954,28.668375,-25.190469,113,True,0.012293,0.068709
GOLD1,ASTER,LIGHTER,1438,99.861111,0.044342,0.04,0.082893,0.925591,1150,0.0358,0.96,1.87,0.016961,-0.2578,7.66,18.18,0.776554,135.312098,3.884353,427,1.493262,16.006372,233.083331,27.497363,-26.047918,1271,True,0.016207,0.060549
LIT,LIGHTER,HL,1440,100.0,-0.006333,0.005,0.265151,0.255556,19,-3.559743,-0.313223,4.183465,0.03952,-17.059254,-7.379863,19.758889,0.270228,,-0.554744,1440,1.09416,9.357773,62.948106,19.695352,-26.759245,1273,True,0.138194,0.131862
SNDK,LIGHTER,HL,1440,100.0,-0.013295,0.0225,0.281598,0.306944,27,-3.37407,0.333015,2.329518,0.0,-15.621644,-0.647105,7.260397,0.15868,,-1.164646,1440,2.236276,8.118436,50.651576,18.823388,-27.056956,1273,True,0.11134,0.098045
SPCX,HL,LIGHTER,1440,100.0,-0.008145,-0.0225,0.295973,0.609722,87,-5.097859,0.314371,3.851752,0.016231,-22.271443,-3.158122,17.18224,0.402985,,-0.713534,1440,-0.992527,8.203459,38.353,19.996572,-27.364994,1273,True,0.023402,0.015257
NVDA,HL,LIGHTER,1440,100.0,-0.036708,-0.0225,0.103848,0.881944,123,-2.572439,-0.54,0.177892,0.0,-9.166763,-5.827263,-1.062832,0.0,,-3.215629,1440,-1.049084,7.335611,79.047025,15.336278,-27.503239,1273,True,0.077875,0.041167
NVDA,ASTER,LIGHTER,1434,99.583333,0.020326,0.04,0.135828,0.878661,446,-1.27,0.96,1.17,0.0,-1.0103,4.8003,7.9838,0.477506,295.194343,1.780522,1440,6.319325,11.440148,57.834627,25.410065,-27.995365,1267,True,0.020734,0.04106
MU,ASTER,LIGHTER,280,19.444444,0.020314,0.04,0.268106,0.8,79,-2.42339,0.96,2.98598,0.007782,2.1013,7.9043,9.5532,0.699115,295.363843,1.7795,194,3.316534,13.860829,139.285404,25.578879,-28.166139,113,True,0.012293,0.032607
TSLA,LIGHTER,ASTER,1434,99.583333,0.003143,-0.04,0.116742,0.225941,104,-0.96,-0.9,3.01435,0.017718,-6.710152,0.231,9.390525,0.231255,1909.093935,0.275314,1440,-8.891046,10.488699,72.484972,22.797555,-28.269556,1267,True,0.039498,0.042641
LIT,ASTER,LIGHTER,1440,100.0,0.011654,-0.005,0.197268,0.211806,10,-1.90552,0.17,2.8699,0.017643,-11.76836,4.9267,12.55218,0.367636,514.855733,1.020868,1440,-2.070323,10.769056,64.554631,24.394783,-28.436953,1273,True,0.126541,0.138194
TSLA,HL,LIGHTER,1440,100.0,-0.044977,-0.0225,0.117527,0.922222,127,-2.856156,-0.727521,0.208084,0.0,-16.604154,-5.862045,-1.868935,0.0,,-3.940006,1440,-1.512279,7.643076,71.959338,15.203341,-28.759516,1273,True,0.084394,0.039417
TSLA,ASTER,LIGHTER,1434,99.583333,-0.003143,0.04,0.116742,0.225941,104,-3.01435,0.9,0.96,0.0,-9.390525,-0.231,6.710152,0.312549,,-0.275314,1440,8.891046,10.488699,72.484972,22.797555,-29.325554,1267,True,0.042641,0.039498
